,0,1,2
196,196,2001-08-20,bihar
197,197,2001-08-20,muzaffarpur
198,198,2001-09-07,bihar
199,199,2002-06-21,andhra pradesh
200,200,2002-06-21,arunachal pradesh
201,201,2002-06-21,assam
202,202,2002-06-21,bihar
203,203,2002-06-21,goa
204,204,2002-06-21,gujarat
205,205,2002-06-21,himachal pradesh
206,206,2002-06-21,kerala
207,207,2002-06-21,madhya pradesh
208,208,2002-06-21,manipur
209,209,2002-06-21,meghalaya
210,210,2002-06-21,tripura
211,211,2002-06-21,uttarakhand
212,212,2002-06-21,west bengal
213,213,2002-06-21,dibrugarh
214,214,2002-06-21,jorhat
215,215,2002-06-21,nagaon
216,216,2002-06-21,karimganj
217,217,2002-06-21,patna
218,218,2002-06-21,bhagalpur
219,219,2002-06-21,muzaffarpur
220,220,2002-06-21,purnia
221,221,2002-06-21,darbhanga
222,222,2002-06-21,begusarai
223,223,2002-06-21,katihar
224,224,2002-06-21,una
225,225,2002-06-21,sagar
226,226,2002-06-21,kokrajhar
227,227,2002-06-21,bongaigaon
228,228,2002-06-21,nalbari
229,229,2002-06-21,nagaon
230,230,2002-06-21,tinsukia
231,231,2002-06-21,dibrugarh
232,232,2002-06-21,jorhat
233,233,2002-06-21,khammam
234,234,2002-06-21,karimnagar
235,235,2002-06-21,adilabad
236,236,2002-08-11,assam
237,237,2002-08-11,bihar
238,238,2002-08-11,manipur
239,239,2002-08-20,madhya pradesh
240,240,2002-09-03,gujarat
241,241,2002-09-03,maharashtra
242,242,2002-10-10,kerala
243,243,2002-10-10,thiruvananthapuram
244,244,2002-10-10,kozhikode
245,245,2002-10-10,kannur
246,246,2002-10-01,tamil nadu
247,247,2002-10-01,chennai
248,248,2002-10-01,coimbatore
249,249,2003-06-11,assam
250,250,2003-06-11,bihar
251,251,2003-06-11,tripura
252,252,2003-06-11,west bengal
253,253,2003-07-15,gujarat
254,254,2003-08-27,orissa
255,255,2003-08-27,cuttack
256,256,2003-08-27,puri
257,257,2003-08-27,jajpur
258,258,2003-07-16,himachal pradesh
259,259,2003-07-16,kullu
260,260,2003-08-07,himachal pradesh
261,261,2003-08-07,solan
262,262,2003-08-07,kullu
263,263,2003-09-10,uttar pradesh
264,264,2004-04-10,manipur
265,265,2004-04-10,imphal
266,266,2004-04-10,thoubal
267,267,2004-06-20,assam
268,268,2004-06-20,bihar
269,269,2004-06-20,gujarat
270,270,2004-06-20,jammu
271,271,2004-06-20,tripura
272,272,2004-06-20,bhagalpur
273,273,2004-06-20,muzaffarpur
274,274,2004-06-20,darbhanga
275,275,2004-06-20,nalbari
276,276,2004-06-09,kerala
277,277,2004-06-09,kozhikode
278,278,2004-06-09,kannur
279,279,2004-09-20,himachal pradesh
280,280,2004-09-20,uttar pradesh
281,281,2004-10-07,arunachal pradesh
282,282,2004-10-07,assam
283,283,2004-10-07,goa
284,284,2004-10-07,meghalaya
285,285,2004-10-07,west bengal
286,286,2004-10-07,una
287,287,2004-08-01,gujarat
288,288,2004-08-01,haryana
289,289,2004-08-01,maharashtra
290,290,2004-08-01,punjab
291,291,2004-08-01,rajasthan
292,292,2004-08-01,uttarakhand
293,293,2005-05-27,nagaland
294,294,2005-05-27,mokokchung
295,295,2005-06-28,gujarat
296,296,2005-06-28,ahmedabad
297,297,2005-06-28,surat
298,298,2005-06-28,vadodara
299,299,2005-06-28,rajkot
300,300,2005-06-28,bhavnagar
301,301,2005-06-28,jamnagar
302,302,2005-06-28,junagadh
303,303,2005-06-28,anand
304,304,2005-06-28,gandhinagar
305,305,2005-06-28,una
306,306,2005-07-09,maharashtra
307,307,2005-06-26,himachal pradesh
308,308,2005-06-26,bilaspur
309,309,2005-06-26,shimla
310,310,2005-06-26,mandi
311,311,2005-06-26,kullu
312,312,2005-07-07,arunachal pradesh
313,313,2005-07-07,assam
314,314,2005-07-07,bihar
315,315,2005-07-07,goa
316,316,2005-07-07,uttar pradesh
317,317,2005-07-07,uttarakhand
318,318,2005-07-07,west bengal
319,319,2005-07-07,seppa
320,320,2005-07-07,dibrugarh
321,321,2005-07-07,jorhat
322,322,2005-07-07,karimganj
