Andhra Pradesh,160
Arunachal Pradesh,1100
Assam,87
Bihar,58
Chhattisgarh,331
Goa,52
Gujarat,196
Haryana,215
Himachal Pradesh,1340
Jharkhand,265
Karnataka,760
Kerala,590
Madhya Pradesh,331
Maharashtra,487
Manipur,790
Meghalaya,968
Mizoram,896
Nagaland,1148
Odisha,305
Punjab,300
Rajasthan,318
Sikkim,1120
Tamil Nadu,320
Telangana,380
Tripura,76
Uttar Pradesh,145
Uttarakhand,1125
West Bengal,34
