,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Event Source,Event Souce ID
0,UEI-DFO-FL-1985-0001,1985-06-23,1985-06-27,4.0,Heavy rain,,,14.5398,75.0937,1.0,254234.6,95,,25000.0,,,DFO,27
1,UEI-DFO-FL-1985-0002,1985-07-18,1985-07-30,12.0,Heavy rain,,,32.8353,76.9103,1.0,117441.17,340,,20000.0,,,DFO,33
2,UEI-DFO-FL-1985-0003,1985-09-13,1985-10-15,32.0,Heavy rain,,,26.4816,82.8434,2.0,89994.67,557,,152000.0,,,DFO,53
3,UEI-DFO-FL-1985-0004,1985-10-18,1985-10-20,2.0,Tropical cyclone,,,21.1495,86.7154,2.0,46758.64,49,,150000.0,,,DFO,61
4,UEI-DFO-FL-1986-0001,1986-06-15,1986-08-20,66.0,Monsoonal rain,,,25.6339,84.0726,1.0,507167.44,258,,3040000.0,,,DFO,93
5,UEI-DFO-FL-1986-0002,1986-08-15,1986-08-22,7.0,Monsoonal rain,,,17.4331,80.187,1.0,107355.33,150,,3000000.0,,,DFO,98
6,UEI-DFO-FL-1986-0003,1986-09-22,1986-10-10,18.0,Heavy rain,,,23.6547,89.4296,1.0,231516.28,49,,700000.0,,,DFO,106
7,UEI-DFO-FL-1988-0001,1988-05-23,1988-11-06,167.0,Monsoonal rain,,,26.4813,92.0622,1.0,42285.99,76,,43000.0,,,DFO,180
8,UEI-DFO-FL-1988-0002,1988-06-21,1988-07-14,23.0,Heavy rain,,,26.988,92.926,1.0,70501.83,34,,2000000.0,,,DFO,190
9,UEI-DFO-FL-1988-0003,1988-04-07,1988-08-08,123.0,Monsoonal rain,,,28.886,80.7246,2.0,847737.26,233,,500000.0,,,DFO,196
10,UEI-DFO-FL-1988-0004,1988-07-14,1988-07-27,13.0,Heavy rain,,,22.0189,71.1117,1.0,76352.55,97,,25000.0,,,DFO,203
11,UEI-DFO-FL-1988-0005,1988-07-31,1988-02-08,,Heavy rain,,,18.4311,80.713,1.0,94871.79,50,,0.0,,,DFO,214
12,UEI-DFO-FL-1988-0006,1988-08-23,1988-09-15,23.0,Monsoonal rain,,,26.5037,86.5429,1.0,626872.46,876,,2000.0,,,DFO,228
13,UEI-DFO-FL-1988-0007,1988-09-21,1988-08-10,,Heavy rain,,,30.9339,75.0459,2.0,268528.55,731,,1250000.0,,,DFO,253
14,UEI-DFO-FL-1988-0008,1988-03-10,1988-04-10,31.0,Heavy rain,,,19.1131,72.8962,1.0,605.213,23,,0.0,,,DFO,255
15,UEI-DFO-FL-1989-0001,1989-07-22,1989-07-31,9.0,Monsoonal rain,,,15.1816,76.4736,1.0,905209.24,780,,0.0,,,DFO,330
16,UEI-DFO-FL-1989-0002,1989-05-07,1989-10-08,154.0,Monsoonal rain,,,24.8678,92.8291,2.0,112816.35,31,,32000.0,,,DFO,334
17,UEI-DFO-FL-1989-0003,1989-03-09,1989-10-09,214.0,Heavy rain,,,26.4375,80.8611,1.0,204979.38,7,,0.0,,,DFO,360
18,UEI-DFO-FL-1990-0001,1990-03-21,1990-03-22,1.0,Torrential rain,,,33.8036,76.2592,1.0,90818.98,17,,0.0,,,DFO,401
19,UEI-DFO-FL-1990-0002,1990-10-05,1990-05-13,,Tropical cyclone,,,16.2843,80.6926,1.0,267344.4,430,,470000.0,,,DFO,411
20,UEI-DFO-FL-1990-0003,1990-06-13,1990-06-18,5.0,Monsoonal rain,,,26.7553,92.7754,2.0,53045.31,21,,0.0,,,DFO,419
21,UEI-DFO-FL-1990-0004,1990-03-07,1990-07-24,139.0,Monsoonal rain,,,26.7055,78.8703,1.0,1100663.3,425,,63517.0,,,DFO,431
22,UEI-DFO-FL-1990-0005,1990-08-13,1990-08-14,1.0,Heavy rain,,,27.5435,80.6956,1.0,284926.61,17,,0.0,,,DFO,447
23,UEI-DFO-FL-1990-0006,1990-08-19,1990-08-25,6.0,Monsoonal rain,,,22.4257,71.3244,1.0,186161.6,50,,0.0,,,DFO,450
24,UEI-DFO-FL-1990-0007,1990-10-17,1990-10-18,1.0,Heavy rain,,,26.0747,92.817,1.0,93839.75,10,,6000.0,,,DFO,472
25,UEI-DFO-FL-1990-0008,1990-10-24,1990-10-28,4.0,Monsoonal rain,,,11.3982,77.0504,1.0,13576.31,44,,0.0,,,DFO,474
26,UEI-DFO-FL-1991-0001,1991-07-05,1991-11-05,123.0,Tropical cyclone,,,24.4696,92.4232,1.0,26042.82,13,,25000.0,,,DFO,510
27,UEI-DFO-FL-1991-0002,1991-10-06,1991-12-06,61.0,Monsoonal rain,,,15.733,73.7324,2.0,491361.5,72,,300000.0,,,DFO,521
28,UEI-DFO-FL-1991-0003,1991-07-13,1991-07-19,6.0,Monsoonal rain,,,26.6059,92.9592,1.0,55550.83,25,,400000.0,,,DFO,539
29,UEI-DFO-FL-1991-0004,1991-07-29,1991-07-31,2.0,Monsoonal rain,,,20.9474,79.1574,1.0,47249.13,500,,6000.0,,,DFO,553
30,UEI-DFO-FL-1991-0005,1991-08-14,1991-08-18,4.0,Heavy rain,,,20.2047,84.4178,1.0,151947.06,15,,0.0,,,DFO,570
31,UEI-DFO-FL-1991-0006,1991-08-15,1991-08-29,14.0,Monsoonal rain,,,28.3671,81.0334,1.0,547679.02,88,,0.0,,,DFO,571
32,UEI-DFO-FL-1991-0007,1991-01-09,1991-09-14,248.0,Monsoonal rain,,,24.707,85.7348,1.0,170873.64,0,,87500.0,,,DFO,578
33,UEI-DFO-FL-1991-0008,1991-09-14,1991-09-15,1.0,Monsoonal rain,,,24.3395,87.8328,1.0,91960.65,21,,0.0,,,DFO,585
34,UEI-DFO-FL-1991-0009,1991-11-13,1991-11-18,5.0,Heavy rain,,,14.0025,79.4752,1.0,599564.89,90,,85000.0,,,DFO,598
35,UEI-DFO-FL-1992-0001,1992-06-15,1992-07-23,38.0,Monsoonal rain,,,16.5216,75.9695,1.0,752428.66,90,,8000.0,,,DFO,656
36,UEI-DFO-FL-1992-0002,1992-10-07,1992-07-20,,Heavy rain,,,26.9122,94.46,1.0,28221.72,0,,0.0,,,DFO,667
37,UEI-DFO-FL-1992-0003,1992-07-26,1992-07-08,,Monsoonal rain,,,20.5033,86.0449,1.0,44021.23,16,,0.0,,,DFO,672
38,UEI-DFO-FL-1992-0004,1992-01-08,1992-03-09,61.0,Monsoonal rain,,,24.8678,80.7003,1.0,518125.28,40,,2000.0,,,DFO,675
39,UEI-DFO-FL-1992-0005,1992-12-09,1992-11-20,,Tropical cyclone,,,13.0242,78.8487,2.0,552562.43,263,,20000.0,,,DFO,694
40,UEI-DFO-FL-1993-0001,1993-04-06,1993-06-22,77.0,Monsoonal rain,,,24.9382,92.0974,1.0,259045.68,238,,950000.0,,,DFO,747
41,UEI-DFO-FL-1993-0002,1993-08-07,1993-08-13,6.0,Monsoonal rain,,,25.1622,89.7567,2.0,531506.66,3083,,9370926.0,,,DFO,757
42,UEI-DFO-FL-1993-0003,1993-09-09,1993-09-17,8.0,Heavy rain,,,27.9917,78.9675,1.0,65928.48,232,,4590.0,,,DFO,778
43,UEI-DFO-FL-1993-0004,1993-11-10,1993-10-21,,Torrential rain,,,13.407,75.4042,1.0,40595.2,35,,40000.0,,,DFO,791
44,UEI-DFO-FL-1993-0005,1993-10-11,1993-11-14,34.0,Heavy rain,,,11.054,77.5024,1.0,40501.37,95,,0.0,,,DFO,798
45,UEI-DFO-FL-1993-0006,1993-04-12,1993-12-15,247.0,Tropical cyclone,,,12.5851,79.9572,1.0,7968.64,70,,45000.0,,,DFO,804
46,UEI-DFO-FL-1994-0001,1994-01-07,1994-07-24,198.0,Monsoonal rain,,,20.6258,76.6191,1.0,1981837.41,617,,800000.0,,,DFO,855
47,UEI-DFO-FL-1994-0002,1994-03-07,1994-12-07,275.0,Monsoonal rain,,,31.7869,77.252,1.0,52338.52,60,,0.0,,,DFO,858
48,UEI-DFO-FL-1994-0003,1994-04-08,1994-11-08,214.0,Monsoonal rain,,,27.586,80.6237,1.0,292130.64,53,,3000.0,,,DFO,879
49,UEI-DFO-FL-1994-0004,1994-08-08,1994-10-08,61.0,Torrential rain,,,31.7821,76.9177,1.0,16795.7,11,,0.0,,,DFO,880
50,UEI-DFO-FL-1994-0005,1994-08-20,1994-08-23,3.0,Torrential rain,,,31.7668,77.27,1.0,14450.04,9,,0.0,,,DFO,887
51,UEI-DFO-FL-1994-0006,1994-08-26,1994-02-09,,Monsoonal rain,,,20.7866,79.2684,1.0,44159.25,26,,0.0,,,DFO,892
52,UEI-DFO-FL-1994-0007,1994-08-31,1994-05-09,,Monsoonal rain,,,31.5294,77.0555,1.0,5275.13,20,,0.0,,,DFO,894
53,UEI-DFO-FL-1994-0008,1994-02-09,1994-07-09,150.0,Monsoonal rain,,,20.1358,84.4369,1.0,154649.2,0,,0.0,,,DFO,895
54,UEI-DFO-FL-1994-0009,1994-10-27,1994-10-31,4.0,Tropical cyclone,,,10.7214,78.7248,1.0,89229.9,40,,0.0,,,DFO,909
55,UEI-DFO-FL-1994-0010,1994-10-30,1994-04-11,,Tropical cyclone,,,16.2498,80.0422,1.0,110657.58,230,,16000.0,,,DFO,911
56,UEI-DFO-FL-1995-0001,1995-02-06,1995-03-06,28.0,Heavy rain,,,23.2582,92.8575,1.0,20147.72,40,,3200.0,,,DFO,959
57,UEI-DFO-FL-1995-0002,1995-06-20,1995-06-23,3.0,Monsoonal rain,,,26.0363,92.8902,1.0,102906.11,17,,1000000.0,,,DFO,963
58,UEI-DFO-FL-1995-0003,1995-01-09,1995-09-20,254.0,Monsoonal rain,,,28.2424,76.8263,1.0,762936.89,600,,2000000.0,,,DFO,990
59,UEI-DFO-FL-1995-0004,1995-05-09,1995-08-09,92.0,Monsoonal rain,,,27.5887,88.4616,1.0,6520.57,35,,0.0,,,DFO,992
60,UEI-DFO-FL-1995-0005,1995-09-26,1995-02-10,,Monsoonal rain,,,22.4615,87.3749,1.0,308073.2,144,,510000.0,,,DFO,1010
61,UEI-DFO-FL-1995-0006,1995-10-20,1995-10-23,3.0,Tropical cyclone,,,16.4132,80.612,1.0,262803.2,94,,12000.0,,,DFO,1027
62,UEI-DFO-FL-1996-0001,1996-10-06,1996-06-30,,Monsoonal rain,,,26.5766,73.762,1.0,328726.92,63,,20000.0,,,DFO,1080
63,UEI-DFO-FL-1996-0002,1996-10-07,1996-07-24,,Monsoonal rain,,,27.4105,92.3599,1.0,128966.83,82,,3000000.0,,,DFO,1088
64,UEI-DFO-FL-1996-0003,1996-07-17,1996-10-08,83.0,Heavy rain,,,24.7685,85.6883,1.0,171939.46,74,,4000000.0,,,DFO,1090
65,UEI-DFO-FL-1996-0004,1996-10-21,1996-10-25,4.0,Heavy Rain,,,15.0341,78.7288,1.0,177527.02,326,,100000.0,,,DFO,1125
66,UEI-DFO-FL-1996-0005,1996-06-11,1996-10-11,122.0,Tropical Cyclone,,,17.0009,81.7657,2.0,21445.46,2500,,140000.0,,,DFO,1128
67,UEI-DFO-FL-1997-0001,1997-01-08,1997-11-08,304.0,Monsoonal rain,,,24.0572,86.2554,1.0,201818.75,24,,100000.0,,,DFO,1168
68,UEI-DFO-FL-1997-0002,1997-08-08,1997-08-14,6.0,Monsoonal rain,,,31.7905,77.3409,1.0,57530.65,200,,0.0,,,DFO,1172
69,UEI-DFO-FL-1997-0003,1997-06-22,1997-08-26,65.0,Monsoonal rain,,,22.4404,71.3091,1.0,183142.55,273,,20000.0,,,DFO,1232
70,UEI-DFO-FL-1997-0004,1997-05-07,1997-07-22,76.0,Monsoonal rain,,,9.49041,76.6811,1.0,233024.37,100,,0.0,,,DFO,1256
71,UEI-DFO-FL-1997-0005,1997-05-07,1997-07-14,68.0,Monsoonal rain,,,26.0909,92.9144,1.0,70603.06,97,,0.0,,,DFO,1258
72,UEI-DFO-FL-1997-0006,1997-08-22,1997-08-26,4.0,Monsoonal rain,,,33.9398,74.8298,1.0,40014.04,26,,0.0,,,DFO,1265
73,UEI-DFO-FL-1997-0007,1997-08-19,1997-08-24,5.0,Monsoonal rain,,,18.8234,75.4418,1.0,228334.99,50,,10000.0,,,DFO,1267
74,UEI-DFO-FL-1997-0008,1997-09-19,1997-09-24,5.0,Tropical cyclone,,,16.9874,82.1012,1.0,80644.64,32,,20000.0,,,DFO,1275
75,UEI-DFO-FL-1997-0009,1997-04-12,1997-09-12,153.0,Monsoonal rain,,,13.8493,78.9883,1.0,384888.4,6,,0.0,,,DFO,1295
76,UEI-DFO-FL-1998-0001,1998-09-06,1998-11-06,61.0,Extra-tropical cyclone,,,24.0181,68.8677,1.0,4931.72,1126,,15000.0,,,DFO,1383
77,UEI-DFO-FL-1998-0002,1998-09-16,1998-09-18,2.0,"Dam/Levy, break or release",,,20.4037,74.4164,1.0,214517.36,12,,50000.0,,,DFO,1444
78,UEI-DFO-FL-1998-0003,1998-01-10,1998-10-20,283.0,Heavy rain,,,16.1464,79.4042,1.0,194230.08,230,,80000.0,,,DFO,1457
79,UEI-DFO-FL-1999-0001,1999-09-24,1999-09-29,5.0,Torrential rain,,,23.3997,88.9474,1.0,168965.63,45,,0.0,,,DFO,1559
80,UEI-DFO-FL-1999-0002,1999-10-29,1999-12-11,43.0,Tropical cyclone,,,21.1735,85.3527,2.0,191940.24,9803,,10000000.0,,,DFO,1567
81,UEI-DFO-FL-2000-0001,2000-10-06,2000-06-16,,"Dam/Levy, break or release",,,27.4268,94.7981,2.0,55286.73,30,,50000.0,,,DFO,1606
82,UEI-DFO-FL-2000-0002,2000-07-31,2000-04-08,,Torrential rain,,,31.806,77.6925,1.0,12415.81,140,,4000.0,,,DFO,1616
83,UEI-DFO-FL-2000-0003,2000-02-08,2000-08-30,204.0,Monsoonal rain,,,27.094,94.643,1.0,326457.88,637,,10504000.0,,,DFO,1617
84,UEI-DFO-FL-2000-0004,2000-08-23,2000-08-31,8.0,Torrential rain,,,17.1335,79.2098,2.0,129459.76,162,,3000000.0,,,DFO,1623
85,UEI-DFO-FL-2000-0005,2000-08-29,2000-09-14,16.0,Monsoonal rain,,,26.9607,80.4678,1.0,223178.01,578,,0.0,,,DFO,1626
86,UEI-DFO-FL-2000-0006,2000-08-30,2000-01-09,,Heavy rain,,,19.9343,80.0385,1.0,36854.1,40,,5000.0,,,DFO,1628
87,UEI-DFO-FL-2000-0007,2000-09-18,2000-10-21,33.0,Monsoonal rain,,,24.0841,88.5453,2.0,155000.88,1468,,24000000.0,,,DFO,1641
88,UEI-DFO-FL-2000-0008,2000-07-17,2000-07-30,13.0,Monsoonal rain,,,15.811,74.5207,1.0,107052.9,140,,0.0,,,DFO,1615
89,UEI-DFO-FL-2001-0001,2001-05-06,2001-06-22,47.0,Monsoonal rain,,,24.4457,92.0058,1.0,17561.54,15,,800000.0,,,DFO,1731
90,UEI-DFO-FL-2001-0002,2001-06-20,2001-06-21,1.0,Monsoonal rain,,,22.8284,71.2868,1.0,38728.34,29,,0.0,,,DFO,1737
91,UEI-DFO-FL-2001-0003,2001-04-07,2001-07-16,100.0,Monsoonal rain,,,9.72651,76.423,1.0,4467.85,86,,40000.0,,,DFO,1744
92,UEI-DFO-FL-2001-0004,2001-08-07,2001-10-08,62.0,Monsoonal rain,,,21.0559,84.7987,2.0,105057.29,100,,2000000.0,,,DFO,1747
93,UEI-DFO-FL-2001-0005,2001-07-16,2001-07-16,0.0,Torrential rain,,,30.7738,79.8583,1.0,2458.01,26,,0.0,,,DFO,1753
94,UEI-DFO-FL-2001-0006,2001-08-14,2001-08-15,1.0,Heavy rain,,,32.6061,76.1481,1.0,3009.11,16,,0.0,,,DFO,1779
95,UEI-DFO-FL-2001-0007,2001-08-20,2001-11-09,81.0,Heavy rain,,,26.7556,83.0513,1.0,35442.06,65,,300000.0,,,DFO,1789
96,UEI-DFO-FL-2001-0008,2001-07-09,2001-09-24,77.0,Heavy rain,,,26.5321,84.87,1.0,30123.95,146,,30000.0,,,DFO,1791
97,UEI-DFO-FL-2001-0009,2001-09-30,2001-02-10,,Torrential rain,,,16.746,79.1214,1.0,44526.51,12,,9000.0,,,DFO,1803
98,UEI-DFO-FL-2001-0010,2001-10-16,2001-10-21,5.0,Heavy rain,,,14.8405,79.054,1.0,87384.5,143,,50000.0,,,DFO,1811
99,UEI-DFO-FL-2002-0001,2002-02-02,2002-05-02,89.0,Heavy rain,,,10.4517,78.7843,1.0,35586.88,11,,0.0,,,DFO,1871
100,UEI-DFO-FL-2002-0002,2002-06-16,2002-06-22,6.0,Monsoonal rain,,,27.8034,95.3833,1.0,3790.23,0,,25000.0,,,DFO,1952
101,UEI-DFO-FL-2002-0003,2002-06-25,2002-06-26,1.0,"Dam/Levy, break or release",,,22.342,88.9351,1.0,41.7932,4,,11000.0,,,DFO,1967
102,UEI-DFO-FL-2002-0004,2002-06-26,2002-03-07,,Monsoonal rain,,,20.8681,73.6623,1.0,170587.72,169,,28000.0,,,DFO,1969
103,UEI-DFO-FL-2002-0005,2002-06-21,2002-08-28,68.0,Monsoonal rain,,,25.8418,89.2696,1.0,276609.37,503,,15000000.0,,,DFO,1974
104,UEI-DFO-FL-2002-0006,2002-11-08,2002-08-13,,Heavy rain,,,30.5622,78.5235,1.0,6762.02,33,,0.0,,,DFO,2027
105,UEI-DFO-FL-2002-0007,2002-03-09,2002-06-09,92.0,Monsoonal rain,,,21.5391,73.2201,1.0,78978.7,22,,5000.0,,,DFO,2049
106,UEI-DFO-FL-2002-0008,2002-10-10,2002-10-16,6.0,Monsoonal rain,,,11.8739,75.527,1.0,9745.41,11,,0.0,,,DFO,2069
107,UEI-DFO-FL-2002-0009,2002-10-31,2002-04-11,,Heavy rain,,,10.9485,79.0643,1.0,22713.01,20,,300.0,,,DFO,2081
108,UEI-DFO-FL-2003-0001,2003-06-21,2003-06-24,3.0,Monsoonal rain,,,12.9158,74.9274,1.0,766.522,4,,0.0,,,DFO,2258
109,UEI-DFO-FL-2003-0002,2003-06-20,2003-06-26,6.0,Monsoonal rain,,,21.3961,73.44,1.0,37685.27,4,,0.0,,,DFO,2260
110,UEI-DFO-FL-2003-0003,2003-07-29,2003-02-08,,Monsoonal rain,,,21.9811,73.9596,1.0,12776.68,2,,14000.0,,,DFO,2299
111,UEI-DFO-FL-2003-0004,2003-07-29,2003-03-08,,Monsoonal rain,,,19.1881,79.2948,1.5,21087.65,2,,14000.0,,,DFO,2312
112,UEI-DFO-FL-2003-0005,2003-08-27,2003-10-20,54.0,Monsoonal rain,,,20.6258,85.8936,1.0,117883.62,67,,3000000.0,,,DFO,2338
113,UEI-DFO-FL-2004-0001,2004-09-06,2004-11-06,61.0,Monsoonal rain,,,12.1226,75.4747,1.0,8999.41,45,,1000.0,,,DFO,2496
114,UEI-DFO-FL-2004-0002,2004-06-20,2004-07-10,20.0,Monsoonal rain,,,25.4989,85.8918,2.0,1162598.06,3000,,40000000.0,,,DFO,2507
115,UEI-DFO-FL-2004-0003,2004-01-08,2004-08-09,214.0,Monsoonal rain,,,21.0247,73.7641,1.0,638379.86,210,,100000.0,,,DFO,2541
116,UEI-DFO-FL-2004-0004,2004-07-10,2004-10-18,100.0,Heavy rain,,,24.6862,89.4002,1.0,161739.65,210,,100000.0,,,DFO,2570
117,UEI-DFO-FL-2005-0001,2005-06-26,2005-06-29,3.0,Heavy rain,,,31.6718,78.4423,1.0,6530.74,6,,5000.0,,,DFO,2678
118,UEI-DFO-FL-2005-0002,2005-06-28,2005-07-15,17.0,Monsoonal rain,,,21.433,73.0739,2.0,73780.97,202,,500000.0,,,DFO,2680
119,UEI-DFO-FL-2005-0003,2005-06-29,2005-03-07,,Monsoonal rain,,,20.9765,86.4305,1.0,6802.76,1,,140000.0,,,DFO,2682
120,UEI-DFO-FL-2005-0004,2005-02-07,2005-07-15,158.0,Monsoonal rain,,,24.1288,80.1999,1.0,55740.23,62,,49000.0,,,DFO,2686
121,UEI-DFO-FL-2005-0005,2005-07-07,2005-07-27,20.0,Monsoonal rain,,,27.4363,87.0126,1.0,823461.88,40,,3000000.0,,,DFO,2690
122,UEI-DFO-FL-2005-0006,2005-07-24,2005-05-08,,Monsoonal rain,,,17.9836,73.435,1.0,35551.57,987,,160000.0,,,DFO,2697
123,UEI-DFO-FL-2005-0007,2005-07-23,2005-08-16,24.0,Monsoonal rain,,,16.9772,79.9654,1.0,619197.82,126,,100000.0,,,DFO,2698
124,UEI-DFO-FL-2005-0008,2005-07-30,2005-03-08,,Monsoonal rain,,,20.9915,86.2759,1.0,11721.28,8,,344857.0,,,DFO,2700
125,UEI-DFO-FL-2005-0009,2005-08-26,2005-08-30,4.0,Heavy rain,,,25.886,83.2115,1.0,12677.59,21,,0.0,,,DFO,2718
126,UEI-DFO-FL-2005-0010,2005-09-14,2005-09-30,16.0,Heavy rain,,,21.1139,82.5389,1.0,374448.85,89,,550000.0,,,DFO,2728
127,UEI-DFO-FL-2005-0011,2005-09-16,2005-05-10,,Monsoonal rain,,,28.1973,79.3734,1.0,308728.72,23,,0.0,,,DFO,2731
128,UEI-DFO-FL-2005-0012,2005-09-22,2005-11-10,49.0,Heavy rain,,,21.7139,73.4733,1.0,53194.83,15,,0.0,,,DFO,2734
129,UEI-DFO-FL-2005-0013,2005-10-21,2005-10-28,7.0,Heavy rain,,,21.9409,87.9347,1.0,29111.38,13,,3000000.0,,,DFO,2754
130,UEI-DFO-FL-2005-0014,2005-10-23,2005-09-12,,Monsoonal rain,,,11.7804,78.7317,1.0,131307.99,279,,300000.0,,,DFO,2758
131,UEI-DFO-FL-2006-0001,2006-04-15,2006-04-18,3.0,Heavy rain,,,17.4335,82.8115,1.0,190869.85,20,,0.0,,,DFO,2844
132,UEI-DFO-FL-2006-0002,2006-05-31,2006-04-06,,Monsoonal rain,,,18.7332,75.2343,1.0,394010.74,41,,0.0,,,DFO,2876
133,UEI-DFO-FL-2006-0003,2006-05-25,2006-02-06,,Monsoonal rain,,,10.5443,76.0498,2.0,42686.92,32,,10800.0,,,DFO,2878
134,UEI-DFO-FL-2006-0004,2006-05-31,2006-07-24,54.0,Monsoonal rain,,,26.5993,94.0245,1.0,185348.84,21,,600000.0,,,DFO,2879
135,UEI-DFO-FL-2006-0005,2006-06-24,2006-03-08,,Monsoonal rain,,,25.6151,83.6713,1.0,506577.31,160,,0.0,,,DFO,2894
136,UEI-DFO-FL-2006-0006,2006-03-07,2006-08-07,153.0,Monsoonal rain,,,19.1719,83.6477,1.0,31360.94,33,,0.0,,,DFO,2909
137,UEI-DFO-FL-2006-0007,2006-03-07,2006-06-07,92.0,Monsoonal rain,,,19.1028,72.8816,1.0,393.774,9,,0.0,,,DFO,2910
138,UEI-DFO-FL-2006-0008,2006-04-07,2006-07-07,91.0,Heavy rain,,,22.4114,71.3097,1.0,170055.89,24,,8400.0,,,DFO,2911
139,UEI-DFO-FL-2006-0009,2006-07-28,2006-12-09,134.0,Monsoonal rain,,,20.1943,73.8242,2.0,681019.56,457,,140000.0,,,DFO,2935
140,UEI-DFO-FL-2006-0010,2006-01-08,2006-10-09,274.0,Monsoonal rain,,,18.1046,81.5288,1.0,302774.27,185,,2000000.0,,,DFO,2940
141,UEI-DFO-FL-2006-0011,2006-08-29,2006-04-09,,Monsoonal rain,,,27.5853,81.5174,1.0,32712.75,42,,50000.0,,,DFO,2956
142,UEI-DFO-FL-2006-0012,2006-08-31,2006-11-09,70.0,Monsoonal rain,,,32.8864,73.8842,1.0,141449.13,39,,3000.0,,,DFO,2958
143,UEI-DFO-FL-2006-0013,2006-09-18,2006-05-10,,Monsoonal rain,,,19.73,83.7466,1.0,606979.95,250,,50000.0,,,DFO,2965
144,UEI-DFO-FL-2006-0014,2006-10-26,2006-04-11,,Monsoonal rain,,,14.1349,79.9324,1.0,40094.93,47,,225000.0,,,DFO,2985
145,UEI-DFO-FL-2007-0001,2007-03-20,2007-03-31,11.0,Heavy rain,,,33.4819,74.2156,1.0,68107.39,12,,2000.0,,,DFO,3042
146,UEI-DFO-FL-2007-0002,2007-06-18,2007-06-26,8.0,Monsoonal rain,,,26.2558,94.0189,1.0,74887.52,15,,200000.0,,,DFO,3104
147,UEI-DFO-FL-2007-0003,2007-06-22,2007-04-07,,Monsoonal rain,,,14.945,78.1615,1.0,450564.36,127,,200000.0,,,DFO,3107
148,UEI-DFO-FL-2007-0004,2007-06-30,2007-07-13,13.0,Monsoonal rain,,,20.0539,81.8601,1.0,248438.85,29,,50000.0,,,DFO,3118
149,UEI-DFO-FL-2007-0005,2007-01-07,2007-06-07,151.0,Monsoonal rain,,,21.0263,77.5237,1.0,106578.44,62,,10000.0,,,DFO,3119
150,UEI-DFO-FL-2007-0006,2007-01-07,2007-07-13,187.0,Monsoonal rain,,,22.0231,72.2495,1.0,398939.17,225,,63000.0,,,DFO,3120
151,UEI-DFO-FL-2007-0007,2007-03-07,2007-09-22,199.0,Monsoonal rain,,,22.6315,88.4871,1.5,517303.2,958,,3000000.0,,,DFO,3122
152,UEI-DFO-FL-2007-0008,2007-12-07,2007-10-10,,Monsoonal rain,,,27.5773,95.263,1.0,103551.73,96,,11100000.0,,,DFO,3128
153,UEI-DFO-FL-2007-0009,2007-07-16,2007-07-20,4.0,Monsoonal rain,,,10.3906,76.3115,1.0,24124.3,44,,35000.0,,,DFO,3131
154,UEI-DFO-FL-2007-0010,2007-03-08,2007-08-27,172.0,Monsoonal rain,,,20.4525,86.1978,1.0,15363.99,15,,20000.0,,,DFO,3150
155,UEI-DFO-FL-2007-0011,2007-08-08,2007-08-15,7.0,Monsoonal rain,,,22.6824,70.925,1.0,133805.7,12,,0.0,,,DFO,3160
156,UEI-DFO-FL-2007-0012,2007-12-08,2007-08-17,,Monsoonal rain,,,31.2388,76.5268,1.0,191449.95,76,,15000.0,,,DFO,3164
157,UEI-DFO-FL-2007-0013,2007-09-16,2007-07-10,,Monsoonal rain,,,15.7067,79.878,1.0,90279.71,94,,20000.0,,,DFO,3191
158,UEI-DFO-FL-2007-0014,2007-09-22,2007-08-10,,Heavy rain,,,20.9096,86.4033,1.0,72007.74,80,,400000.0,,,DFO,3195
159,UEI-DFO-FL-2007-0015,2007-10-17,2007-10-24,7.0,Heavy rain,,,24.7214,93.9705,1.5,10886.11,2,,30000.0,,,DFO,3208
160,UEI-DFO-FL-2007-0016,2007-10-27,2007-01-11,,Heavy rain,,,12.725,79.7002,1.0,76740.36,29,,50000.0,,,DFO,3217
161,UEI-DFO-FL-2008-0001,2008-03-20,2008-03-27,7.0,Heavy rain,,,10.762,78.7172,1.0,144329.28,37,,10000.0,,,DFO,3286
162,UEI-DFO-FL-2008-0002,2008-05-24,2008-05-28,4.0,Heavy rain,,,26.4,93.755,1.0,62279.3,0,,0.0,,,DFO,3312
163,UEI-DFO-FL-2008-0003,2008-11-06,2008-03-07,,Heavy Rain,,,22.1496,110.224,1.5,79368.52,65,,500000.0,,,DFO,3319
164,UEI-DFO-FL-2008-0004,2008-05-07,2008-07-14,68.0,Monsoonal rain,,,25.2411,90.1201,1.5,426531.54,350,,70000.0,,,DFO,3327
165,UEI-DFO-FL-2008-0005,2008-07-20,2008-08-08,19.0,Monsoonal rain,,,27.4995,89.7871,2.0,283806.15,142,,225000.0,,,DFO,3338
166,UEI-DFO-FL-2008-0006,2008-05-08,2008-11-08,184.0,Monsoonal rain,,,16.6523,81.3801,1.5,75487.93,74,,0.0,,,DFO,3356
167,UEI-DFO-FL-2008-0007,2008-08-30,2008-08-09,,Monsoonal rain,,,27.0442,94.5503,1.5,80590.45,900,,1000000.0,,,DFO,3372
168,UEI-DFO-FL-2008-0008,2008-09-22,2008-09-29,7.0,"Dam/Levy, break or release",,,20.9522,84.4064,2.0,464318.0,2400,,0.0,,,DFO,3382
