,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Event Source,Event Souce ID
4368,UEI-IMD-FL-2013-0095,2013-02-23,2013-02-23,1.0,heavy rains ,,Wardha,,,,,1,,,,One person died as a tree fell on him. ,IMD,
4369,UEI-IMD-FL-2013-0096,2013-04-17,2013-04-17,1.0,heavy rains ,,Jalgaon ,,,,,1,,,,One woman died as a tree fell on her. ,IMD,
4370,UEI-IMD-FL-2013-0097,2013-04-23,2013-04-23,1.0,heavy rains ,,Nagpur ,,,,,,,,,,IMD,
4371,UEI-IMD-FL-2013-0098,2013-06-07,2013-06-07,1.0,heavy rains ,,Pune ,,,,,,2,,,"One woman along with her daughter swept away at Shindewadi, Katraj. ",IMD,
4372,UEI-IMD-FL-2013-0099,2013-06-09,2013-06-09,1.0,heavy rains ,,Mumbai ,,,,,2,9,,,2 persons died in Bhandup and 9 others injured. ,IMD,
4373,UEI-IMD-FL-2013-0100,2013-06-16,2013-06-18,3.0,heavy rains,,Pune and Thane,,,,,6,2,,,i) 3 women died due to wall collapse in Pune. ii) 3 labours died and 2 others injured in the landslide at Turbhe. ,IMD,
4374,UEI-IMD-FL-2013-0101,2013-06-22,2013-06-28,7.0,flood ,,"Akola, Amaravati, Bhandara, Buldhana, Chandrapur, Gondia, Nagpur, Wardha,Washim and Yavatmal ",,,,,3,,,,3 persons died.,IMD,
4375,UEI-IMD-FL-2013-0102,2013-07-03,2013-07-03,1.0,heavy rains ,,Raigad and Ratnagiri ,,,,,5,1,,,5 persons died and other swept away. ,IMD,
4376,UEI-IMD-FL-2013-0103,2013-07-14,2013-07-19,6.0,flood,,"Amaravati, Chandrapur, Gondia,Nagpur, Wardha, Washim and Yavatmal ",,,,,30,17,,1000,"i) About 30 persons died, 16 others drowned and one swept away. ii) About 1000 livestock perished. ",IMD,
4377,UEI-IMD-FL-2013-0104,2013-07-24,2013-07-24,1.0,heavy rains ,,Buldhana ,,,,,,1,,,"One person swept away in Gundha village, Lonar tehsil. ",IMD,
4378,UEI-IMD-FL-2013-0105,2013-08-01,2013-08-03,3.0,heavy rains ,,"Amaravati, Chandrapur, Nagpur, Wardha and Yavatmal ",,,,,9,23,,,"9 persons died, 5 others swept away and 18 others injured. ",IMD,
4379,UEI-IMD-FL-2013-0106,2013-09-19,2013-09-19,1.0,heavy rains ,,Pune ,,,,,4,,,,4 persons died as a house collapsed in Yerawada area. ,IMD,
4380,UEI-IMD-FL-2013-0107,2013-09-26,2013-09-26,1.0,heavy rains,,Nandurbar ,,,,,8,,,,8 persons died and few others injured due to massive landslide,IMD,
4381,UEI-IMD-FL-2013-0108,2013-10-11,2013-10-11,1.0,heavy rains ,,Jalgaon ,,,,,5,,,,5 persons died due to house collapse. ,IMD,
4382,UEI-IMD-FL-2013-0109,2013-05-11,2013-05-11,1.0,heavy rains,,Aizawl,,,,,17,,,,17 persons died in a massive landslide. ,IMD,
4383,UEI-IMD-FL-2013-0110,2013-07-12,2013-07-12,1.0,heavy rains,,Kohima ,,,,,,,,,,IMD,
